"code";"abbreviation";"description";"explanation"
"529";"ELR_SETERROR_TM";"eLabelRouter: timeout when receivong response for setting module error";""
"530";"ELR_GETCYCLES_TM";"eLabelRouter: timeout when receivong response for getting cycles";""
"531";"ELR_FLASH_TM";"eLabelRouter: timeout when receivong response for flashing eLabel entries";""
"532";"ELR_GETERROR_TM";"eLabelRouter: timeout when receivong response for getting module errors";""
"533";"ELR_EVALRESP_ELABLES_UNEXPECTED";"eLabelRouter: unexpected response when evaluating response";""
"534";"ICN_ERROR_FALSE_FORMAT";"false format in string format when converting error string from ASCII to integer";""
"535";"EL_BUFFER_NOT_INIT_TEXT";"no buffer defined for eLabel of type eLabelText while setting value";""
"536";"EL_BUFFER_NOT_INIT_BYTESTR";"no buffer defined for eLabel of type eLabelByteStream while setting value";""
"537";"EL_BUFFER_NOT_INIT_READ";"no buffer defined for eLabel entry while reading";""
"538";"EL_BUFFER_NOT_INIT_WRITE";"no buffer defined for eLabel entry while writing";""
"539";"EL_SETPRODERROR_UNDELIV";"eLabelMgrProxy: SetPodError undeliverable";""
"540";"EL_GETPRODERROR_UNDELIV";"eLabelMgrProxy: GetProdError undeliverable";""
"541";"ELR_SETPRODERROR_TM";"eLabelRouter: timeout when receivong response for setting product error";""
"542";"ELR_GETPRODERROR_TM";"eLabelRouter: timeout when receivong response for setting producr error";""
"543";"EL_ELABEL_NOT_REGISTERED_SETERR_PROD";"eLabelMgr: eLabel not registered when tryong to set product error";""
"544";"EL_ELABEL_NOT_REGISTERED_SETERR_MOD";"eLabelMgr: eLabel not registered when tryong to set module error";""
"545";"EL_ELABEL_NOINST_GETMODERROR";"eLabelMgr: eLabel not registered when tryong to getting module error";""
"546";"EL_ELABEL_NOINST_GETPRODERROR";"eLabelMgr: eLabel not registered when tryong to getting product error";""
"547";"CANNOT_INIT_STRUCT_MOD";"Cannot initialize eLabel structure "mod"";""
"548";"CANNOT_INIT_STRUCT_MODCYCLES";"Cannot initialize eLabel entry "mod.cycles"";""
"549";"CANNOT_INIT_STRUCT_MODERRORS";"Cannot initialize eLabel entry "mod.errorlist"";""
"550";"CANNOT_INIT_STRUCT_MODHOURS";"Cannot initialize eLabel entry "mod.hours"";""
"551";"CANNOT_INIT_STRUCT_MODCURRHOURS";"Cannot initialize eLabel entry "mod.currhours"";""
"552";"CANNOT_INIT_STRUCT_MODMINUTES";"Cannot initialize eLabel entry "mod.minutes"";""
"553";"CANNOT_INIT_STRUCT_PROD";"Cannot initialize eLabel structure "prod"";""
"554";"CANNOT_INIT_STRUCT_PRODCYCLES";"Cannot initialize eLabel structure "prod.cycles"";""
"555";"CANNOT_INIT_STRUCT_PRODERRORS";"Cannot initialize eLabel structure "prod.errorlist"";""
"556";"CANNOT_INIT_STRUCT_PRODHOURS";"Cannot initialize eLabel structure "prod.hours"";""
"557";"CANNOT_INIT_STRUCT_PRODCURRHOURS";"Cannot initialize eLabel structure "prod.currhours"";""
"558";"CANNOT_INIT_STRUCT_PRODMINUTES";"Cannot initialize eLabel structure "prod.minutes"";""
"559";"CANNOT_INIT_STRUCT_PRODMCBF";"Cannot initialize eLabel structure "prod.mcbf"";""
"560";"CANNOT_INIT_STRUCT_PRODMCBUI";"Cannot initialize eLabel structure "prod.mcbui"";""
"561";"CANNOT_INIT_STRUCT_PRODERRNO";"Cannot initialize eLabel structure "prod.errno"";""
"562";"ELR_GETOPHOURS_TM";"eLabelRouter: timeout when receivong response for getting operation hours";""
"563";"ELR_GETCURRHOURS_TM";"eLabelRouter: timeout when receivong response for getting current  hours";""
"564";"ELM_GETOPHOURS_UNDELIV";"eLabelMgrProxy:Could not deliver EL_GETOPHOURS";""
"565";"ELM_GETCURRHOURS_UNDELIV";"eLabelMgProxyr:Could not deliver EL_GETCURRHOURS";""
"566";"ELR_GETOPHOURS_UNDELIV";"eLabelRouterProxy:Could not deliver EL_GETOPHOURS";""
"567";"ELR_GETCURRHOURS_UNDELIV";"eLabelRouterProxy:Could not deliver EL_GETCURRHOURS";""
"568";"EL_GETELABELS_UNDELIV";"eLabelMgrProxy: GeteLabels undeliverable";""
"569";"EL_GETCYCLES_UNDELIV";"eLabelMgrProxy: GetCycles undeliverable";""
"570";"ELM_FLASH_UNDELIV";"eLabelMgrProxy: Falsh undeliverable";""
"571";"ELM_GETERRORS_UNDELIV";"eLabelMgrProxy: GetErrors undeliverable";""
"572";"ELM_GETPRODERRORS_UNDELIV";"eLabelMgrProxy: GetProdErrors undeliverable";""
"573";"ELM_INITGENERICS";"eLabelMgr: problem while initializing generic elabel entries. ";""
"574";"NO_WRITE_INIT_ERROR";"Did not write eLabelEntry because of initialization problem";""
"600";"ITC_Image_server_creation_failed";"ImageTransferControl cannot create image data server. Fatal.";""
"601";"ITC_Cannot_install_BlockRead_function";"ImageTransferControl cannot install blockread function. Fatal.";""
"602";"ITC_Envelope_undeliverable";"ImageTransferControl cannot deliver envelope. Fatal.";""
"603";"ITC_Invalid_max_packet_size";"ImageTransferControl received wrong FW packet size from PC. Fatal.";""
"604";"ITC_Invalid_FW_speed_code";"ImageTransferControl received wrong FW packet size from PC. Fatal.";""
"605";"ITC_Block_transfer_timeout_exceeded";"ImageTransferControl: block transfer takes too long. Fatal hardware error.";""
"606";"ITC_Invalid_PC_node_id";"ImageTransferControl: block transfer failed because PC's node ID is invalid. Fatal.";""
"607";"ITC_Scan_FIFO_overflow";"ImageTransferControl: scan fifo overflow during block transfer. Fatal.";""
"608";"ITC_Scan_FIFO_underrun";"ImageTransferControl: scan fifo underrun during block transfer. Fatal.";""
"609";"ITC_FPGA_bus_error";"ImageTransferControl: FPGA bus error occured. Fatal.";""
"610";"ITC_Invalid_nr_of_requested_bytes";"ImageTransferControl: invalid number of requested bytes (less or equal 0). Fatal software bug.";""
"611";"ITC_Timeout_get_packet_size";"ImageTransferControl: timeout: cannot determine used FW packet size. Fatal.";""
"612";"ITC_Timeout_data_not_available";"ImageTransferControl: timeout: scanner didn't store enough data in SDRAM yet to start block transfer. Wait, then try again.";""
"613";"ITC_Enable_scan_FIFO_pumps_LLC_failed";"ImageTransferControl: enabling the scan fifo write pump, DM pump or LLC failed. Fatal.";""
"614";"ITC_Recover_packet_failed";"ImageTransferControl: recovering the FW packet failed. Fatal.";""
"615";"ITC_Too_many_packets_per_block";"ImageTransferControl: requested block is too big (exceeds max. possible number of packets per block). Request smaller block.";""
"616";"ITC_FW_DISCONNECTED_DURING_BLOCK_TRANSFER";"ImageTransferControl: FireWire connection has been interrupted while transmitting a block. Reconnect and rely on recovery.";""
"700";"UIF_SEND_EMERGENCY";"cannot send do emergency response";""
"701";"UIF_SEND_STUB";"Cannot send STUB msg!";""
"702";"UIF_CALLBACK_CMD";"add_callback: command_id  out of range";""
"703";"UIF_ARM_UNDELIVERABLE";"cooul not deliver event e_uif_arm";""
"704";"UIF_CALIBRATE_UNDELIVERABLE";"cooul not deliver event e_uif_calibrate";""
"705";"UIF_CASS_REMOVED_UNDELIVERABLE";"cooul not deliver event e_uif_cassette_removed";""












"718";"UIF_OFFLINE_UNDELIVERABLE";"could not deliver e_uif_procsw_down";""
"719";"UIF_PROCSWDOWN_UNDELIVERABLE";"could not deliver e_uif_offline";""
"720";"UIF_WRONGCASSORIENT_UNDELIVERABLE";"could not deliver e_uif_wrong_cass_orientation";""
"721";"UIF_SERVICE_UNDELIVERABLE";"could not deliver e_uif_service_error";""
"722";"UIF_SEND_ERASE";"could not deliver e_uif_erase";""
"723";"UIF_SEND_RESP";"could not send response";""
"724";"UIF_NOIP_UNDELIVERABLE";"could not deliver e_uif_no_ip";""
"725";"UIF_SET_SCPROGR_UNDELIVERABLE";"could not deliver e_uif_show_scanning_progress";""
"726";"UIF_SET_UIF_SER_UNDELIVERABLE";"could not deliver e_uif_service";""
"727";"UIF_SET_CONTRAST";"Could not adjust contrast of LCD display";"Meaning:Contrast adjustment failure, UIF display may not be optimal"; Reason: UIF hardware problem;" Cure: Install new software or exchange UIF board"
"728";"UIF_SET_BRIGHTNESS";"Could not adjust brightness of LCD display";"Meaning:Brightness adjustment failure, UIF display may not be optimal"; Reason: UIF hardware problem;" Cure: Install new software or exchange UIF board"
"729";"CONTRAST_DEC";"Contrast reached it's lower limit and was incremented ";""
"730";"CONTRAST_INC";"Contrast reached it's upper limit and was decremented ";""
"731";"UIF_WAITSCREEN_UNDELIVERABLE";"Could not deliver e_uif_display_wait_screen";""
"732";"UIF_DEFINE_EMERG";"Could not define emergency button";"Meaning:Emergency button could not be defined, emergency cannot be selected, no setting funxtionality available on UIF"; Reason: Not enough memory or bad memory ;"Cure: Install new software or exchange UIF board"
"733";"UIF_DEFINE_ERASE";"Could not define erase button";"Meaning:Erase button could not be defined, erase cannot be selected, no UIF settings can be done"; Reason: Not enough memory or bad memory ;"Cure: Install new software or exchange UIF board"
"734";"UIF_DEFINE_MORE";"Could not define more functions button";"Meaning:More functions  button could not be defined, settings screen cannot be selected, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"735";"UIF_DEFINE_AUDIODISABLE";"Could not define audio disable button";"Meaning:Audiodisable  button could not be defined, audio signals cannot be switched on/off, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"736";"UIF_DEFINE_AUDIOENABLE";"Could not define audio enable button";"Meaning:Audioenable button could not be defined, audio signals cannot be switched on, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"737";"UIF_DEFINE_BRIGHTDEC";"Could not define decrement brightness button";"Meaning:Decrement brightness button could not be defined,no settings can be done on UIF, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"738";"UIF_DEFINE_BRIGHTINC";"Could not define increment brightness button";"Meaning:Increment brightness button could not be defined, no UIF settings ecxept increment brightness availble, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"739";"UIF_DEFINE_CONTRDEC";"Could not define decrement contrast button";"Meaning:Decrement contrast button could not be defined, no contrast settings and audio settings available on UIF, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"740";"UIF_DEFINE_CONTRINC";"Could not define increment contrast button";"Meaning:Increment contrast button could not be defined, contrast cannot be decremented, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"741";"UIF_DEFINE_CANCEL";"Could not define cancel button";"Meaning:Cancel button could not be defined, any screen selected by pressing a button on UIF cannot be exited manually, Reason: Not enough memory or bad memory ,Cure: Install new software or exchange UIF board"
"742";"UIF_DEFINE_SCROLL";"Could not define scrolll button";"Meaning:Scroll button could not be defined, setting screens only partly available"; Reason: Not enough memory or bad memory ;"Cure: Install new software or exchange UIF board"
"743";"BRIGHTNESS_DEC";"Brightness reached it's lower limit and was incremented ";""
"744";"BRIGHTNESS_INC";"Brightness reached it's uppper limit and was decremented ";"Meaning:Stop error beep button could not be defined, error beep cannot be switched off by touching display in error situation"; Reason: Not enough memory or bad memory ;"Cure: Install new software or exchange UIF board"
"745";"UIF_DEFINE_STOPBEEP";"Could not define StopErrorBeep button";"Meaning:Stop error beep button could not be defined, error beep cannot be switched off by touching display in error situation"; Reason: Not enough memory or bad memory ;"Cure: Install new software or exchange UIF board"
"746";"UIF_CANNOT_INIT_DISP";"Could not initlialize display";"Meaning:..., Reason: wrong display coordinates or not enough memory. Cure:..."
"747";"UIF_WRONG_DISPLAY_CHANNEL";"Wrong display channel, when making display current";""
"748";"UIF_CANNOT_CLEAR_DISPLAY";"Wrong display channel, when clearing display";""
"749";"UIF_CANNOT_CONNECT_SOUND";"Caonnot connect to sound channel";""
"750";"UIF_CANNOT_CLEAR_DISPLAY_BEFORE_WAIT";"Cannot clear display before displaying WaitScreen";""
"751";"UIF_WRONG_CHANNEL_CURS_POS";"Wrong channel number when setting cursor position";""
"752";"UIF_WRONG_CHANNEL_DISP_BMP";"Wrong channel number when displaying bitmap";""
"753";"UIF_ENABLERESCUE_UNDELIVERABLE";"Could not deliver e_uif_rescue_enable";""
"754";"UIF_DISABLERESCUE_UNDELIVERABLE";"Could not deliver e_uif_rescue_disable";""
"755";"UIF_IPINCASSETTE_UNDELIVERABLE";"Could not deliver e_uif_cassette_not_empty";""
"756";"UIF_DEFINE_OK";"Could not define ok button";""
"757";"UIF_GETATTR_UNDELIVERABLE";"Could not deliver response to get attribute";""
"758";"UIF_SETATTR_UNDELIVERABLE";"Could not deliver response to set attribute";""
"759";"UIF_GETATTR_BAD_RESP_CODE";"Bad response code in set attribute";""
"760";"UIF_SEND_IPRESCUE";"Could not deliver response to IP rescue";""
"761";"UIF_ERALAMPDEFECT_UNDELIVERABLE";"Could not deliver response to IP jam";""
"762";"UIF_STARTSCANNING_UNDELIVERABLE";"Could not deliver response to start scanning";""
"763";"UIF_IPJAM_UNDELIVERABLE";"Could not deliver response to IP jam defect";""
"764";"UIF_SE_UNDELIVERABLE";"Could not deliver response to display service mode";""
"765";"UIF_READING_CASSETTE_UNDELIVERABLE";"Could not deliver response to display reading cassette";""
"1001";"ST_ECD_VALUE_OOR";"CassDet - unknown state";"unknown expected value in method enableCassetteDetector() for the expected state"
"1002";"ST_IPNOTFIXED";"IP not fixed";"HandlingControl was not able to fix the IP at the plate. Scanning is not possible."
"1003";"ST_MALLOC_BDY_TIO";"malloc TIO msg";"malloc() failed for generation of an event in case of a timeout condition."
"1004";"ST_QPEND";"pend failed";"queue_pend() returned with no envelope and no timeout condition applies."
"1005";"ST_RA_DELIVER";"deliver failed";"Cannot send Availability response to the PC"
"1006";"ST_RAOC_IPD2PC";"IPD2PC failed";"Cannot send IPData to PC - communications problem as indicated by the secondary error code"
"1007";"ST_RAOC_DELIVER";"deliver failed";"Cannot send CassetteAvailable reponse to the PC"
"1008";"ST_SDR_MALLOC";"malloc failed";"malloc() failed in method sendDataResponse()."
"1009";"ST_RAOI_DELIVER";"deliver failed";"Cannot send IPAvailable reponse to the PC"
"1010";"ST_RF_DELIVER";"deliver failed";"Cannot send Failure reponse to the PC"
"1011";"ST_RIE_DELIVER";"deliver failed";"Cannot send IPErased reponse to the PC"
"1012";"ST_RIS_DELIVER";"deliver failed";"Cannot send IPSecure reponse to the PC"
"1013";"ST_RE_DELIVER";"deliver failed";"Cannot send Emergency reponse to the PC"
"1014";"ST_MALLOC_INT_EVENT";"malloc failed";"malloc() failed for generation of an internal event's envelope"
"1015";"ST_WTD_GETFRIMPC";"IPDfromPC failed";"Cannot get IPData from PC in method writeTagData()"
"1016";"ST_WTD_IMPORT";"IPDfromPC failed";"Cannot import IPData in method writeTagData()"
"1017";"ST_SSE_MALLOC";"malloc failed";"malloc() in private method sendStubbedEvent() failed."
"1018";"ST_SSE_DELIVER";"deliver failed";"Cannot send envelope in private method sendStubbedEvent()"
"1019";"ST_RS_DELIVER";"deliver failed";"Cannot send Scanned resonse to PC"
"1020";"ST_RCR_DELIVER";"deliver failed";"Cannot send CassetteRemoved response to PC"
"1021";"ST_SIR_DELIVER";"deliver failed";"Cannot send IDRequest to PC"
"1022";"ST_RSS_DELIVER";"deliver failed";"Cannot send ScanStarted Response to PC"
"1023";"ST_DSN_DELIVER";"deliver failed";"Cannot send StateNotification message to PC"
"1024";"ST_RSP_DELIVER";"deliver failed";"Cannot send ScannerPrepared message to PC"
"1025";"ST_CBDP_DELIVER";"deliver failed";"Cannot send CalculateDerivedParameters message to PC"
"1026";"ST_TWS_DELIVER";"deliver failed";"Cannot send TagWrite response message to PC"
"1027";"ST_SWSM_DELIVER";"deliver failed";"Cannot send WrongState response message to PC."
"1028";"ST_SDR_DELIVER";"deliver failed";"Cannot send response back to caller, receiver either unknown or not existing in the system."
"1029";"ST_RNS_DELIVER";"deliver failed";"Cannot send the NotificationStopped response to the PC"
"1030";"ST_CALCERASPEED";"calc eraspeed failed";"Calculation of erasurespeed returned with error."
"1031";"ST_PREPERASURE";"prep era failed";"Preparation of erasure returned with error."
"1032";"ST_SETIPERASABILITY";"set IPerasablitiy failed";"Setting the IPErasability failed."
"1033";"ST_SETEXPOSUREDOSE";"set ExpDose failed";"Setting the ExposureDose failed."
"1034";"ST_SETIPTYPE";"set IPType failed";"Setting the IPType failed"
"1035";"ST_SETRADIOLOGYTYPE";"set RadType failed";"Setting the Radiology Type (Mammo or GenRad) failed."
"1036";"ST_STOPERASING";"erasure off failed";"Stop ErasureLamp failed."
"1037";"ST_TESTERAMODULE";"test era failed";"testing the erasure unit failed."
"1038";"ST_CATCHCASSETTE";"catchCass failed";"action CatchCassette failed."
"1039";"ST_HDLERASEIP";"IPTransp 'erasure' failed";"mechanical movement of the action 'Erase' returned with error."
"1040";"ST_HDLIPINCASS";"RetIP failed";"action 'ReturnIP' (bring the IP back into the cassette, lock it there and close the cassette) returned with error."
"1041";"ST_IPTOBOE";"IP2BOE failed";"action 'Bring IP to Begin Of Erasure position' failed."
"1042";"ST_IPTOSCANNER";"IP2Scanner failed";"action 'Bring IP to Scanner and fix it there' failed - event with retries."
"1043";"ST_PREPIPTRANSP";"prepIPTransp failed";"action 'prepare IP-Transporter' failed"
"1044";"ST_RELEASECASSETTE";"releaseCass failed";"action 'release Cassette' failed"
"1045";"ST_HDLSCANIP";"HDL scan failed";"action 'Scan IP' for the mechanical handling failed"
"1046";"ST_USP_IMPORT";"updScanPars import failed";"importing the IPData failed in method updateScanParameters."
"1047";"ST_USP_DIFOGET";"updScanPars rx failed";"getting the ipdated IPData through DIFO from the PC failed in method updateScanParameters."
"1048";"ST_SCANNERINIT";"init scanner failed";"init Scanner failed"
"1049";"ST_SCANNERTEST";"test scanner failed";"test scanner failed"
"1050";"ST_PREPSCAN";"prep scan failed";"prepare scanning failed"
"1051";"ST_SCANNOTSTARTED";"scan not started";"Scan could not be started."
"1052";"ST_SCANFAILED";"scan failed";"Scanning failed"
"1053";"ST_SCANNOTPREPARED";"prep after BolBos failed";"Scanner could not prepare after BOL/BOS scan"
"1054";"ST_PREPOFFSETSCAN";"prep offset scan failed";"Prepare Offsetscan failed"
"1055";"ST_OFFSETSCAN";"offset scan failed";"Offsetscan failed"
"1056";"ST_INIT_IPWITHOUTCASS";"IP without Cass";"An IP has been found inside the device without a cassette mounted in the slot during the initialisation. Remove the IP manually!"
"1057";"ST_INIT_CASSWITHOUTIP_CFM";"Cass without IP";"A cassette has been found without an IP inside the device during the initialisation."
"1058";"ST_INIT_FORMATMISMATCH";"IP/Cass mismatch";"The size of the IP found inside the device does not match the size of the cassette mounted in the slot during the initialisation."
"1059";"ST_INIT_TWOIPS";"TwoIPs";"Two IPs have been found in the device: One in the cassette mounted in the slot and one inside the device itself during the initialisation. "
"1060";"ST_INIT_UNKNOWNRESPONSE";"unknown resp";"An unknown status code has been returned for the command recoverIP() by HandlingControl. Software bug."
"1061";"ST_WRONGSTATE";"wrong state";"An event arrived in a state in which it cannot be handled. To be more specific: This must be an event that comes from a response, otherwise the status 'Wrong State' would have been sent directly to the requestor. The secondary parameter of this log indicates the event that is rejected."
"1062";"ST_RESET_DELIVER";"Deliver reset response failed.";"The reset will be performed."
"1063";"ST_RCUS_DELIVER";"Deliver cleanup response failed.";"Cannot deliver the response to the CleanUp command. The action will be performed nevertheless."
"1064";"ST_UNKNOWN_PREPOFFSETRESP";"Unknown statuscode from Scanner";"The method prepare_offsetScan() returned a status code that is not known. Software bug. Please report to RnD."
"1065";"ST_UNKNOWN_PREPSCANRESP";"Unknown statuscode from Scanner";"The method prepareScan() returned a status code that is not known. Software bug. Please report to RnD."
"1066";"ST_UNKNOWN_OFFSETSCANRESP";"Unknown statuscode from Scanner";"The method doOffsetScan() returned a status code that is not known. Software bug. Please report to RnD."
"1067";"ST_STATUSNOTALLOWED";"This value cannot be set.";"The setStratusStatus method does not allow to set any value besides 'ST_STRATUSSTATUS_ERROR'. This is intended for servicing applications that leave the digitizer in an inconsistent state (motors have been moved, ...)"
"1068";"ST_TAGREADERTESTSERIALCOMM";"No connection to tagreader";"The serial communications with the tagreader is not successfull."
"1069";"ST_TAGREADERGENERALERR";"General error from tagreader";"Any error had been received from the tagreader while testing it. Please consult the logfile for the exact error code and its meaning."
"1070";"ST_CASSFOUNDATSTARTUP";"Cassette found at startup of the scanner";"A cassette has been detected in the scanner and it is likely that the image plate is not erased correctly or still carries an image. <newline/>Press OK to release the cassette."
"1071";"ST_IPRESCUE_START";"IP rescue cycle start text";"IP rescue cycle start text"
"1072";"ST_IPRESCUE_NEWEMPTY";"IP rescue cycle new empty cassette text";"IP rescue cycle new empty cassette text"
"1073";"ST_IPRESCUE_MISMATCH";"IP rescue cycle cassette not empty or format mismatch text";"IP rescue cycle cassette not empty or format mismatch text"
"1074";"ST_IPRESCUE_INSERTIP";"IP rescue cycle insert IP in cassette text";"IP rescue cycle insert IP in cassette text"
"1075";"ST_ASNODE_RESET";"Reset detected at AirSupply node";"Meaning: Air-Ctrl Board(B438) Software crashed or is in the AddressbookSync state.<newline/>Reason: Air-Ctrl Board got a Reset or Software crashed otherwise.<newline/>Cure: Reset the digitizer."
"1076";"ST_IPNODE_RESET";"Reset detected at IPHandling node";"Meaning: IP-Handling Board(B365) Software crashed or is in the AddressbookSync state.<newline/>Reason: IP-Handling Board got a Reset or Software crashed otherwise.<newline/>Cure: Reset the digitizer."
"1077";"ST_CANODE_RESET";"Reset detected at CassHandling node";"Meaning: Cassette Handling Board(B250) Software crashed or is in the AddressbookSync state.<newline/>Reason: Cassette Handling Board got a Reset or Software crashed otherwise.<newline/>Cure: Reset the digitizer."
"1078";"ST_SCNODE_RESET";"Reset detected at CCDnode";"Meaning: Scanhead-Ctrl Board(B572) Software crashed or is in the AddressbookSync state.<newline/>Reason: Scanhead-Ctrl Board got a Reset or Software crashed otherwise.<newline/>Cure: Reset the digitizer."
"1079";"ST_UINODE_RESET";"Reset detected at userIF node";"Meaning: StatusLED and Display  Board(B148) Software crashed or is in the AddressbookSync state.<newline/>Reason: StatusLED and Display  Board got a Reset or Software crashed otherwise.<newline/>Cure: Reset the digitizer."
"1080";"ST_ERNODE_RESET";"Reset detected at Erasure node";"Meaning: Erasure Unit Board Software crashed or is in the AddressbookSync state.<newline/>Reason: Erasure Unit Board got a Reset or Software crashed otherwise.<newline/>Cure: Reset the digitizer."
"1081";"ST_PWNODE_RESET";"Reset detected at Power node";"PowerSupply node crashed or is in the AddressbookSync state"
"1082";"ST_PROXY_SENDDATA_DELIVER";"cannot deliver data message from proxy to StratusControl-task";"Meaning: Cannot send any Data message from StratusControl-proxy to StratusControl-task through PostOffice.<newline/>Cure: SW-Bugfixing"
"1083";"ST_SCANHEADTOSTBY";"Move Scanhead to Standby after scanning failed";"Meaning: Any severe error occurred while moving scanhead to standby position"
"1084";"ST_SCANNER_CALMECH";"Scanner calibrate mechanics failed";"Scanner calibrate mechanics failed"
"1085";"ST_STARTERASING";"start of erasure unit failed";"Start of Erasure Lamp failed."
"1086";"ST_IPRESCUE_NEWEMPTY_35_43_NOCA";"IP rescue cycle new empty 35x43 cassette text";"IP rescue cycle new empty 35x43 cassette text"
"1087";"ST_IPRESCUE_NEWEMPTY_35_35_NOCA";"IP rescue cycle new empty 35x35 cassette text";"IP rescue cycle new empty 35x35 cassette text"
"1088";"ST_IPRESCUE_NEWEMPTY_24_30_NOCA";"IP rescue cycle new empty 24x30 cassette text";"IP rescue cycle new empty 24x30 cassette text"
"1089";"ST_IPRESCUE_NEWEMPTY_18_24_NOCA";"IP rescue cycle new empty 18x24 cassette text";"IP rescue cycle new empty 18x24 cassette text"
"1090";"ST_IPRESCUE_NEWEMPTY_15_30_NOCA";"IP rescue cycle new empty 15x30 cassette text";"IP rescue cycle new empty 15x30 cassette text"
"1091";"ST_IPRESCUE_NEWEMPTY_35_43_2IPS";"IP rescue cycle new empty 35x43 cassette text 2IP's found";"IP rescue cycle new empty 35x43 cassette text 2IP's found"
"1092";"ST_IPRESCUE_NEWEMPTY_35_35_2IPS";"IP rescue cycle new empty 35x35 cassette text 2IP's found";"IP rescue cycle new empty 35x35 cassette text 2IP's found"
"1093";"ST_IPRESCUE_NEWEMPTY_24_30_2IPS";"IP rescue cycle new empty 24x30 cassette text 2IP's found";"IP rescue cycle new empty 24x30 cassette text 2IP's found"
"1094";"ST_IPRESCUE_NEWEMPTY_18_24_2IPS";"IP rescue cycle new empty 18x24 cassette text 2IP's found";"IP rescue cycle new empty 18x24 cassette text 2IP's found"
"1095";"ST_IPRESCUE_NEWEMPTY_15_30_2IPS";"IP rescue cycle new empty 15x30 cassette text 2IP's found";"IP rescue cycle new empty 15x30 cassette text 2IP's found"
"1096";"ST_IPRESCUE_START_2IPS";"IP rescue cycle start text 2IPs found";"IP rescue cycle start text 2IPs found"
"1097";"ST_IPRESCUE_START_FORMAT_MISMATCH";"IP rescue cycle start text Format Mismatch";"IP rescue cycle start text Format Mismatch"
"1098";"ST_ERASE_IMG_SDRAM";"Erase Image in SDRAM failed";"Erase of Image in SDRAM failed."
"1100";"HC_STORE_ELABEL_IPFORMAT";"IP-Format to eLabel: ";""
"1101";"ST_HDLTEST";"Selftest Handling finished with error or warning.";"action 'TestHandling' returned with error or warning."
"1102";"ST_HDLTESTACTIVE";"Active Selftest Handling finished with error or warning.";"action 'TestHandlingActive' returned with error or warning."
"1103";"ST_HDLINIT";"Initialize Handling finished with error or warning.";"action 'InitializeHandling' or 'InitializeHandlingStandalone'  returned with error or warning."
"1104";"ST_HDLINITFREESCANHEAD";"Handling Init FreeScanhead finished with error or warning.";"action 'HandlingInitFreeWayScanhead'  returned with error or warning."
"1105";"ST_ERASEINIT";"Initialize Erasure Module finished with error or warning.";"action 'FlashErasure_init_Module' returned with error or warning."
"1106";"ST_AIRSUPPLYINIT";"Initialize AirSupply Module finished with error or warning.";"action 'AirSupply_init_Module'    returned with error or warning."
"1107";"ST_AIRSUPPLYINITPRESSURE";"Initialize AirSupply Pressure finished with error or warning.";"action 'AirSupply_init_Pressure'   returned with error or warning."
"1108";"ST_AIRSUPPLYTEST";"Test AirSupply Module finished with error or warning.";"action 'AirSupply_test_Module'   returned with error or warning."
"1109";"ST_AIRSUPPLYTESTACTIVE";"Active Test AirSupply Module finished with error or warning.";"action 'AirSupply_test_Module_Active'   returned with error or warning."
"1110";"ST_SLOWSCANTEST";"Test Slowscan Module finished with error or warning.";"action 'SlowScan_test_Module'   returned with error or warning."
"1111";"ST_SCANNERINITFLIGHTCTRL";"Initialize FlightControl Module finished with error or warning.";"action 'Scanner_init_FlightControl'    returned with error or warning."
"1112";"ST_TESTERAMODULEACTIVE";"Active Test Erasure Module finished with error or warning.";"action 'FlashErasure_test_Module_Active' returned with error or warning."
"1113";"ST_TESTSCANNERSDRAM";"Test of Scanhead SDRAM failed.";"Meaning:<newline/>Test of Scanhead SDRAM failed.<newline/>Cure:<newline/>Exchange SHI-Board"
"1114";"ST_TAGWRITE_CFM";"Tag write error.";"Meaning:<newline/>Writing status back to RF-Tag failed.<newline/>Reason:<newline/>a) RF-Communication error<newline/>b) Tag reader or RF-Tag in cassette defective<newline/>Cure:<newline/>a) Retry writing<newline/>b) Replace tag reader or cassette."
"1115";"ST_TAGREAD_CFM";"Tag read error.";"Meaning:<newline/>Reading ID data from RF-Tag failed.<newline/>Reason:<newline/>Any idetification problem(e.g. checksum error, ..).<newline/>Cure:<newline/>Reidentify cassette."
"1116";"ST_PREPSCANMECHANICS";"prep scan mechanics failed";"prepare scanner mechanics failed"
"1117";"ST_ELABEL_RACK_ACCESS";"eLabel at rack not accessible";"The eLabel of the Rack (which contains device specific parameters such as the serial number and the typecode) that uniquely identifies this device is not accessible (either not connected or defective)"
"1118";"ST_PREPERASING";"prepare of erasure unit failed";"Preparation of Erasure Unit failed."
"1119";"ST_REMOVEIPRESCUE";"remove IP out cass. in Rescue failed";"Meaning: Remove IP out of cassette in IP Rescue cycle failed.<newline/>Reason: Any handling problem occurred."
