"ErrorCode";"Identifier";"Meaning";"Reason";"Cure"
"'21011";"E_BAC_PUSH2QUEUED";"Internal handling of the buffer handles failed. went wrong. ";"Cannot push buffer handle to the backend of the 'queued'-queue.";"Check the underlying errors for a detailed explatantion of what"
"'21012";"E_BAC_CREATECTRL";"Creation of the file containing the control data failed. ";"Cannot create control file.";"?"
"'21013";"E_BAC_SPOOLCTRL";"Error while rewriting the control file. ";"Cannot spool the complete control data to file.";"See underlying error code for explanation."
"'21014";"E_BAC_PREPIMGFILE";"Creation of the imagefile and allocation of sufficient space for the image failed. ";"Preparation of the imagefile failed.";"Check that there is enough space left on the harddisk!"
"'21015";"E_BAC_SPOOLSENDCTRL";"Error while rewriting the control file. ";"Cannot spool the complete control data to file.";"See underlying error code for explanation."
"'21016";"E_BAC_SENDCTRL";"Sending the control data to the Spooler Output failed. ";"spo_send_ctrl() returned with error.";"Rely on automatic job handling - should not happen anyway ..."
"'21017";"E_BAC_PREPIMGFILE1";"Cannot prepare image file (creation, allocation of space). ";"prepare_image_file() failed.";"Check that there is enough space left on the harddisk!"
"'21018";"E_BAC_TAGFOLDER";"The function that tags a folder returned with error. ";"tag_folder() failed.";"See underlying function for a detailed explanation."
"'21019";"E_BAC_WRITECTRL";"For any reason we are not able to write the control data to the harddisk. ";"Writing of the first part of the control data failed.";"See underlying error for detailes."
"'2101A";"E_BAC_OPENIMGFILE";"-----------------""---------------- ";"Creation of the image file failed.";"See underlying errors."
"'2101B";"E_BAC_ALLOCDISKSPACE";"Cannot allocate enough space to hold the image. ";"alloc_disk_space() returned with error.";"Check diskspace."
"'2101C";"E_BAC_WRCOMPCTRL";"Cannot rewrite the file. ";"Filedescriptor cannot be rewound.";"Rely on automatic recovery."
"'2101D";"E_BAC_WRITECHUNK";"---------------""----------------- ";"Writing the chunk to disk failed.";"See underlying error codes and explanations."
"'2101E";"E_BAC_OPENTAGFILE";"Cannot create the file <./tagfile> in the folder directory. ";"Creation of the tagfile failed.";"See underlying errors."
"'2101F";"E_BAC_WRITETAGFILE";"No write-operation possible on the tagfile. ";"Writing the tagstring into the tagfile failed.";"See underlying error code."
"'21020";"E_BAC_IFC_SHAREFAILED";"";"";""
"'21021";"E_BAC_IFC_CANNOTMMSALLOC0";"";"";""
"'21022";"E_BAC_IFC_CANNOTQPOST0";"";"";""
"'21023";"E_BAC_IFC_CANNOTMMSALLOC1";"";"";""
"'21024";"E_BAC_IFC_CANNOTQPOST1";"";"";""
"'21025";"E_BAC_IFC_CANNOTMMSALLOC2";"";"";""
"'21026";"E_BAC_IFC_CANNOTQPOST2";"";"";""
"'21027";"E_BAC_IFC_CANNOTMMSALLOC3";"";"";""
"'21028";"E_BAC_IFC_CANNOTQPOST3";"";"";""
"'21029";"E_BAC_IFC_CANNOTMMSALLOC4";"";"";""
"'2102A";"E_BAC_IFC_CANNOTQPOST4";"";"";""
"'2102B";"E_BAC_IFC_CANNOTMMSALLOC5";"";"";""
"'2102C";"E_BAC_IFC_CANNOTQPOST5";"";"";""
"'2102D";"E_BAC_IFC_CANNOTMMSALLOC6";"";"";""
"'2102E";"E_BAC_IFC_CANNOTQPOST6";"";"";""
"'2102F";"E_BAC_RMDIR";"Calling rmdir() failed for this folder. by user interaction ...) In general, a reset should do! ";"Cannnot remove a folder from disk.";"Check whether this folder is still existing (might be renamed"
"'21030";"E_BAC_GETBUF_MKDIR";"Cannot created directory for a new folder ";"mkdir failed";"Reset!"
"'21031";"E_BAC_MAINGLOBALLOGLEVEL";"Cannot set the global loglevel ";"LlvSetLogLevel failed";"See underlying error codes"
"'21032";"E_BAC_MAINLOCALLOGLEVEL";"Cannot set the local loglevel ";"LlvSetLogLevel failed";"See underlying error codes"
"'21033";"E_BAC_MAININITCAS";"Cannot initialize the cas component is missing on the D: partition. Please check the existence of the file d:/iptypes.tbl. If it does not exist, rerun the CPF parser. If this does not help, please contact CSO-MED for further investigation. ";"cas_initCas failed";"See CAS error code - probably the IPTable file"
"'21034";"E_BAC_MAINATTACHSPO";"Cannot attach to SPO ";"spo_attach failed";"See underlying error!"
"'21035";"E_BAC_IGN_FREECTL";"Cannot free attached control block in ignore() ";"mms_free failed";"None - this is a bug - report this to SI-DIS"
"'21036";"E_BAC_IGN_FREEIMG";"Cannot free attached image block in ignore() ";"mms_free failed";"None - this is a bug - report this to SI-DIS"
"'21037";"E_BAC_IGN_FREEHEAD";"Cannot free message header in ignore() ";"mms_free failed";"None - this is a bug - report it to SI-DIS"
"'21038";"E_BAC_GB_GENERAL";"Something went wrong while reserving a buffer ";"get_buffer failed";"See underlying error code for details"
"'21039";"E_BAC_SSC_WRITECTRL";"Cannot write demographic data to disk ";"write_control failed";"See reason for the write failure (underlying error)"
"'2103A";"E_BAC_SC_FREECTL";"Cannot free an attached control block in spool_control ";"mms_free failed";"This is a bug - inform SI-DIS"
"'2103B";"E_BAC_SC_FREECTL1";"Cannot free an attached control block in spool_control ";"mms_free failed";"This is a bug - inform SI-DIS"
"'2103C";"E_BAC_CMD_QCFTAG";"buf_tag_folder failed ";"Cannot tag folder to be retransmitted";"See underlying error code"
"'2103D";"E_BAC_CMD_QCFPUSH";"buf_push_handle_to_back failed ";"Cannot push folder into the queued list";"See underlying error."
"'2103E";"E_BAC_CMD_QCFFREECTL";"MMS gets confused the situation to SI-DIS for further investigation. ";"Cannot free mms_ctl block";"Reset the machine - and send the logfile reflecting"
"'2103F";"E_BAC_CMD_QCFFREEMSG";"MMS gets confused the situation to SI-DIS for further investigation. ";"Cannot free mms_header block";"Reset the machine - and send the logfile reflecting"
"'21040";"E_BAC_REJBUF_CLOSECTRL";"";"";""
"'21041";"E_BAC_REJBUF_MMSFREE";"";"";""
"'21042";"E_BAC_REJBUF_RMDIR";"";"";""
"'21043";"E_BAC_REJBUF_PUSH2EMPTY";"";"";""
"'21044";"E_BAC_NO_FREE_BUFFER";"There are no buffers left for a new acquisition Station has been completed successfully. ";"All buffers in use";"Wait until the next transmission to a Processing"
"'21045";"E_BAC_SETDEFONLINEMMSFREE";"Cannot free message ";"mms_free failed";"See underlying MMS error for details."
"'21046";"E_BAC_SETDEFOFFLINEMMSFREE";"Cannot free message ";"mms_free failed";"See underlying mms error for details."
"'21047";"E_BAC_UPDATESTATE_MMSFREE";"Cannot free message ";"mms_free failed";"See underlying mms error for details."
"'21048";"E_BAC_UPDATESTATE_DELERR";"";"";""
"'21049";"E_BAC_UPDTSTATROUT_DELERR";"";"";""
"'2104A";"E_BAC_NOTFY_REQU_MMS_FREE";"";"";""
"'2104B";"E_BAC_REJBUF_GRASP";"A job handle cannot be found anymore in its queue immediately. In the meantime, bring the Scanner into offline mode (via the keyoperator screen) and remove any cassettes from the input buffer. If activities have come to an end (please ensure that all cassettes have left the machine) perform a reset. This will reset the queues and operation can continue without any loss of data. Remark: up to 3 images might be sent a 2nd time, this is due to the fact that the processing station was still busy with these images and therefore, no acknowledgement message have been received until the reset was performed. ";"Inconsistency in job queues";"Severe software inconsistency - inform service"
"'2104C";"E_BAC_RELBUFGETBUF";"A job handle cannot be found anymore in its queue immediately. In the meantime, bring the Scanner into offline mode (via the keyoperator screen) and remove any cassettes from the input buffer. If activities have come to an end (please ensure that all cassettes have left the machine) perform a reset. This will reset the queues and operation can continue without any loss of data. Remark: up to 3 images might be sent a 2nd time, this is due to the fact that the processing station was still busy with these images and therefore, no acknowledgement message have been received until the reset was performed. ";"Inconsistency in job queues";"Severe software inconsistency - inform service"
"'2104D";"E_BAC_RELBUFNQGETBUF";"A job handle cannot be found anymore in its queue immediately. In the meantime, bring the Scanner into offline mode (via the keyoperator screen) and remove any cassettes from the input buffer. If activities have come to an end (please ensure that all cassettes have left the machine) perform a reset. This will reset the queues and operation can continue without any loss of data. Remark: up to 3 images might be sent a 2nd time, this is due to the fact that the processing station was still busy with these images and therefore, no acknowledgement message have been received until the reset was performed. ";"Inconsistency in job queues";"Severe software inconsistency - inform service"
"'2104E";"E_BAC_CFG_CHMOD_BUFSIZE";"Cannot set access rights for the buffersize ";"nvf_set_acc_mode failed";"Correct Software"
"'2104F";"E_BAC_CFG_CHMOD_CHUNKSTEP";"Cannot set access rights for the chunksteps ";"nvf_set_acc_mode failed";"Correct Software"
"'21050";"E_BAC_CFG_CHMOD_SPOIDLETIO";"Cannot set access rights for the idle_timeout in SPO ";"nvf_set_acc_mode failed";"Correct Software"
"'21051";"E_BAC_CFG_CHMOD_SPOBSYTIO";"Cannot set access rights for the busy_timeout in SPO ";"nvf_set_acc_mode failed";"Correct Software"
"'21052";"E_BAC_CFG_CHMOD_SPOCHUNKDIST";"Cannot set access rights for the chunkdistance in SPO ";"nvf_set_acc_mode failed";"Correct Software"
"'21053";"E_BAC_CFG_CHMOD_SPORETRYTIO";"Cannot set access rights for the retry timeout in SPO ";"nvf_set_acc_mode failed";"Correct Software"
"'21054";"E_BAC_DELOLDBUF";"Cannot delete old folder from disk to write a new one ";"delete_folder_from_disk failed";"See underlying error code for details."
"'21055";"E_BAC_STEALBUF_MKDIR";"Cannot create new folder directory for testimage inconsistency - check logfile and existing files on the e: partition, whether the folder already exists. If this is the case, please inform CSO-MED immediately and provide a logfile for further investigation. ";"mkdir failed";"Check space on harddisk. Might also be a software"
"'21056";"E_BAC_STEALBUF_GENERAL";"See underlying error code for details ";"Unable to create a new folder for any reason";"See underlying error code for details"
"'21057";"E_BAC_WRONG_STATE";"BAC is designed to handle max. 2 folders in parallel this is a hardware restriction. An attempt has been made to get a 3rd buffer. stops, then do a reset. Inform MED-CSO and send them the logfile for further investigation by R&D. ";"A get_buffer command has been received in wrong state";"Severe bug, wait until activity (handling, scanning)"
"'21058";"E_BAC_C1FNA_PUSH";"Cannot push handle back into the granted queue again when returning into pure offline mode. As customer, please wait until all activities have come to an end (do not feed new cassettes into the machine) and reset it. ";"buf_push_handle_to_front failed";"Remove Software bug."
"'21059";"E_BAC_C2FNA_PUSH";"Cannot push handle back into the granted queue again when returning into pure offline mode. As customer, please wait until all activities have come to an end (do not feed new cassettes into the machine) and reset it. ";"buf_push_handle_to_front failed";"Remove Software bug."
"'2105A";"E_BAC_SNSC_GRASP";"Cannot get handle from the granted queue As customer, please wait until all activities have come to an end (do not feed new cassettes into the machine) and reset it. ";"buf_grasp_buffer_handle failed";"Remove software bug."
"'2105B";"E_BAC_SFD_GRASP";"Cannot get handle from the granted queue As customer, please wait until all activities have come to an end (do not feed new cassettes into the machine) and reset it. ";"buf_grasp_buffer_handle failed";"Remove software bug."
"'2105C";"E_BAC_FLD_C2PO_PUSH";"Cannot push handle back into the granted queue As customer, please wait until all activities have come to an end (do not feed new cassettes into the machine) and reset it. ";"buf_push_handle_to_front failed";"Remove Software bug."
"'2105D";"E_BAC_REMBUF_RMDIR";"Cannot remove folderdirectory from the harddisk will reinitialize the folders and the harddisk contents. ";"rmdir() failed";"See underlying error codes for details - In general, a reset"
"'2105E";"E_BAC_REMBUF_PUSH2EMPTY";"Cannot push freed handle to the back of the 'empty' queue ";"buf_push_handle_to_back() failed";"Inform CSO-MED about the failure and perform a RESET."
"'2105F";"E_BAC_REMBUF_GRASP";"Cannot grasp the specified buffer handle from the 'granted' queue. ";"buf_grasp_buffer_handle() failed";"Software inconsistency - inform CSO-MED and perform a RESET."
"'21060";"E_BAC_GRB_ACTIVE";"There is already one folder in use?? Please reset and have everybody keep his hands off any keyboard! ";"inserting incomplete folder failed during startup.";"Is someone using one of the testprograms during startup??"
"'21061";"E_BAC_HIM_FREECTL";"Freeing of the control block of an unknown message failed. investigation by R&D. ";"mms_free failed";"Please inform MED-CSO and provide the logfile for further"
"'21062";"E_BAC_HIM_FREEIMG";"Freeing of the image block of an unknown message failed. investigation by R&D. ";"mms_free failed";"Please inform MED-CSO and provide the logfile for further"
"'21063";"E_BAC_HIM_FREEMSG";"Freeing of an unknown message failed. investigation by R&D. ";"mms_free failed";"Please inform MED-CSO and provide the logfile for further"
"'21064";"E_BAC_GB1_MMSFREE";"Freeing of a get_buffer message failed in this situation: no buffers are available at this time, we have to wait for the output to complete the transmission of an image. investigation by R&D. ";"mms_free failed";"Please inform MED-CSO and provide the logfile for further"
"'21065";"E_BAC_GB2_MMSFREE";"Freeing of a get_buffer message failed in this situation: no buffers are available at this time, we have to wait for the output to complete the transmission of an image. investigation by R&D. ";"mms_free failed";"Please inform MED-CSO and provide the logfile for further"
"'21066";"E_BAC_LOADPCF";"unable to load the program file from disk ";"loading the precheck filter failed";"Configuration error, or program file missing."
"'21067";"E_BAC_STARTPCF";"An error occured while starting the precheck filter. ";"starting the precheck filter failed.";"See error that lead to this error message."
"'21068";"E_BAC_PCFATTACH";"configuration error ";"cannot attach to the precheck filter";"ensure that the software on this system is consistent."
"'21069";"E_BAC_PCFSENDCTRL";"sending the block failed ";"cannot send control block to precheck system";"no cure"
"'2106A";"E_BAC_ALLOCPCFCTRL1";"unable to duplicate demographic data for the precheck system ";"cannot alloc control block";"out of system resources?"
"'2106B";"E_BAC_PCFSENDCTRL1";"sending the block failed ";"cannot send control block to precheck system";"no cure"
"'2106C";"E_BAC_MAIN_INITICN";"Something wrong with ICN ";"attach to ICN failed";"No cure"
"'2106D";"E_BAC_SC_PCFSENDCHUNK";"sending the block failed ";"cannot send pixel chunk to precheck system";"no cure"
"'2106E";"E_BAC_ALLOCPCFCHUNK1";"unable to duplicate pixel chunk for the precheck system ";"cannot alloc image block";"out of system resources?"
"'2106F";"E_BAC_SCNU_PCFSENDCHUNK";"sending the block failed ";"cannot send pixel chunk to precheck system";"no cure"
"'21070";"E_BAC_SNSC_PCFSENDCHUNK";"sending the block failed ";"cannot send pixel chunk to precheck system";"no cure"
"'21071";"E_BAC_SC_PCFCLEANUP";"internal software error - out of resources error to R&D via your GSC. ";"pcf_cleanup failed";"No cure - reset the system and report this"
"'21072";"E_BAC_SCNU_PCFCLEANUP";"internal software error - out of resources error to R&D via your GSC. ";"pcf_cleanup failed";"No cure - reset the system and report this"
"'21073";"E_BAC_SNSC_PCFCLEANUP";"internal software error - out of resources error to R&D via your GSC. ";"pcf_cleanup failed";"No cure - reset the system and report this"
"'21074";"E_BAC_GBSYNCING";"Cannot inform my parent that BACGB has started up successfully and that the installation procedure can continue. ";"Write into sync mailbox failed.";"No Cure!"
"'21075";"E_BAC_GBTASKQPEND";"Problem reading from the input queue. ";"mms_qpend() reported an error.";"Check underlying error message for details."
"'21076";"E_BAC_GETGBQID";"System is not able to give me a queue ID for my input Queue too many tasks running (zombie processes, ....). A 'mon res' should solve the problem. It is not the way it's supposed to be, but ... ";"sm_queueid returned with error.";"System ressources are exhausted. Could it be that there are"
"'21077";"E_BAC_GBQCREATE";"System cannot create a message queue. ";"Creation of my input queue failed.";"Check underlying error code for details."
"'21078";"E_BAC_GBNOTASKID";"Too many tasks running. likely to float around in the system blocking its ressources. ";"System cannot assign a taskID to the BAC task.";"Check configuration and remove all zombie processes that are"
"'21079";"E_BAC_GBTASKSTART";"Cannot start the BAC task. underlying error codes for detauils. ";"lib_taskcreate() returned with error.";"Starting the BAC task failed for any reason - check the"
"'2107A";"E_BAC_GBTASKSYNC";"received an error while waiting for BAC to broadcast its birth. ";"sc_pend() returned with error.";"Check underlying error for details."
"'2107B";"E_BAC_WRCOMCTRLSTORE";"see IFX error below ";"writing the complete control block failed";"Check underlying error for details."
"'2107C";"E_BAC_WRCOMCTRLCLOSE";"see IFX error below. ";"closing the completed control file failed";"Check underlying error for details."
"'21100";"E_SPO_REFUSE_POST";"Cannot reply to request in wrong state ";"mms_qpost failed";"See underlying error."
"'21101";"E_SPO_IGNORE_FREE_CTRL";"Cannot free MMS Control Block different from the NULL pointer, however, the try to free this control block resulted in this error. ";"mms_free failed";"The MMS header block has a reference to a control block that is"
"'21102";"E_SPO_IGNORE_FREE_IMG";"Cannot free MMS Image Block different from the NULL pointer, however, the try to free this control block resulted in this error. ";"mms_free failed";"The MMS header block has a reference to a control block that is"
"'21103";"E_SPO_IGNORE_FREE_MSG";"Cannot free MMS Header Block be freed. This is a heavy bug! Please report this ASAP - in the meantime, a reset will do for a while. ";"mms_free failed";"The MMS header block that has arrived via the input queue cannot"
"'21104";"E_SPO_CNCQ_GETBUF";"There is no buffer being transmitted currently. ";"Removing the buffer handle failed.";"RESET!"
"'21105";"E_SPO_CNCQ_WRITE2BACK";"Cannot push the handle into the queue of transmitted folders. ";"buf_write_handle_to_back failed.";"See underlying errors."
"'21106";"E_SPO_CNCQ_QJAM";"Cannot jam this message to the front of my input queue. ";"mms_qjam failed.";"See underlying error codes."
"'21107";"E_SPO_CQ_QJAM";"Cannot jam this message to the front of my input queue. ";"mms_qjam failed.";"See underlying error codes."
"'21108";"E_SPO_CHKID_QJAM";"Cannot jam this message to the front of my input queue. ";"mms_qjam failed.";"See underlying error codes"
"'21109";"E_SPO_FQ_MMSALLOC";"Cannot allocate a new image block. into DCM's chunkqueue. ";"mms_alloc failed for an image block";"Allocation of a new image block failed. Cannot write a new chunk"
"'2110A";"E_SPO_FQ_READ";"Cannot read image chunk from disk. ";"buf_read failed";"See underlying errors."
"'2110B";"E_SPO_FQ_TXIMG";"Cannot post image block into the chunk queue. ";"dcm_tx_image_chunk failed.";"Probably the queue is full. Check underlying error for details."
"'2110C";"E_SPO_FQ_FREEMSG";"Cannot free message header block ";"mms_free failed";"Software inconsistency - RESET!"
"'2110D";"E_SPO_SC_ALLOCMSG";"Cannot allocate an image block to be posted into the chunk queue ";"mms_alloc failed for an image block";"Rely on automatic error recovery."
"'2110E";"E_SPO_SC_READCHUNK";"Cannot read image chunk from disk. ";"buf_read failed.";"Check underlying error codes fro details."
"'2110F";"E_SPO_SC_SENDCHUNK";"Cannot post chunk to DCM ";"dcm_tx_image_chunk failed";"Probably the chunkqueue is full. Rely on automatic recovery."
"'21110";"E_SPO_SC_ROUTECHUNK";"Cannot post chunk to DCM ";"dcm_tx_image_chunk failed";"Probably the chunkqueue is full. Rely on automatic recovery."
"'21111";"E_SPO_SC_FILECLOSE";"Cannot close imagefile. ";"buff_close failed";"Closing the imagefile failed. Check underlying error for details."
"'21112";"E_SPO_SC_FREEMSG";"Cannot free the message header block. ";"mms_free failed";"Software inconsistency - RESET!"
"'21113";"E_SPO_GIP_ENPASS";"Cannot switch into passthru mode. details. ";"bac_enable_passthru failed.";"BAC refuses to go into passthru mode. See underlying error for"
"'21114";"E_SPO_GIP_FREEMSG";"Cannot free an MMS header block ";"mms_free failed.";"Software inconsistency - RESET!"
"'21115";"E_SPO_TO_GETBUFFER";"Cannot get me the folder to be transmitted offline neither from the ""queued"" queue nor from the ""warning"" queue. This could be an inconsistency in the folder queues or a race between messages. The reason for this is not clear yet, please report any occurance of this error together with a logfile showing the error to MED-CSO. ";"get_buffer_handle failed.";"reset the device allowing it to rebuild the folder queues."
"'21116";"E_SPO_TO_SETBUFFER";"Cannot mark this buffer as being transmitted now. ";"set_buffer_being_transmitted failed.";"See underlying error codes."
"'21117";"E_SPO_TO_TXFOLDER";"Request to transmit a whole folder (offline) failed. ";"dcm_transmit_folder failed.";"See underlying error codes for details"
"'21118";"E_SPO_TO_TAGFOLDER";"Cannot tag the folder as being transmitted. ";"buf_tag_folder failed.";"See underlying error."
"'21119";"E_SPO_TO_FREEMSG";"Cannot free MMS header block ";"mms_free failed.";"Software inconsistency - RESET!"
"'2111A";"E_SPO_TOIC_DISPASS";"Cannot disable passthru mode. error recovery. ";"bac_disable_passthru failed.";"BAC refuses to tranit into offline mode ... rely on automatic"
"'2111B";"E_SPO_TOIC_ALLOCCTRL";"Cannot alloc a control block to transmit the control data to DCM. number of mms control blocks in the configuration data. ";"mms_alloc failed for a control block";"See underlying error codes - maybe it is usefull to increase the"
"'2111C";"E_SPO_TOIC_OPENCTRL";"Cannot open folder's control file. ";"open_file_readonly failed.";"Rely on automatic error recovery."
"'2111D";"E_SPO_TOIC_READCTRL";"Cannot read control data from file. ";"read failed.";"See underlying error codes."
"'2111E";"E_SPO_TOIC_CLOSECTRL";"Cannot close control file. ";"close failed.";"Maybe open() failed ?!"
"'2111F";"E_SPO_TOIC_STARTTX";"Cannot start online transmission. ";"dcm_start_online failed.";"See DCM error code."
"'21120";"E_SPO_TOIC_OPENIMG";"Cannot open the image file. ";"open_file_readonly failed.";"Rely on automatic job handling."
"'21121";"E_SPO_TOIC_ALLOCCHUNK";"Cannot allocate an image block ";"mms_alloc failed for an image block";"See underlying error."
"'21122";"E_SPO_TOIC_READCHUNK";"Cannot read image chunk from disk. ";"read failed.";"See underlying error codes"
"'21123";"E_SPO_TOIC_SENDCHUNK";"Cannot send image chunk to DCM ";"dcm_tx_image_chunk failed.";"Chunkqueue full?? Rely on automatic error recovery."
"'21124";"E_SPO_FREEMSG";"Cannot free a message block ";"mms_free failed for message block";"Software Inconsistency - RESET!"
"'21125";"E_SPO_CFD_DISPASS";"Cannot turn off the passthru mode ";"bac_disable_passthru failed.";"See underlying errors."
"'21126";"E_SPO_CFD_OPENIMG";"Cannot open image file. ";"open_file_readonly failed.";"Rely on automatic error recovery."
"'21127";"E_SPO_CFD_SETFILEPOS";"Cannot position cursor to the place where the chunk begins whose transmission failed. ";"Cannot position file cursor.";"Rely on automatic error recovery."
"'21128";"E_SPO_CFD_FREEMSG";"Cannot free header block ";"mms_free failed.";"software inconsistency - RESET!"
"'21129";"E_SPO_RCTRL_STARTTX";"Posting the request failed. ";"Cannot start online transmission";"Rely on automatic recovery."
"'2112A";"E_SPO_RCTRL_FREEMSG";"Cannot free header block ";"mms_free_failed";"software inconsistency - RESET!"
"'2112B";"E_SPO_RCHUNK_TX";"Posting of this request failed ";"Cannot send image chunk";"Rely on automatic error recovery."
"'2112C";"E_SPO_RCHUNK_FREE_MSG";"Cannot free header block ";"mms_free failed.";"software inconsistency - RESET!"
"'2112D";"E_SPO_SYNCING";"Cannot sync with installation routine. ";"sc_post failed.";""
"'2112E";"E_SPO_TASKQPEND";"cannot pend on my input queue ";"mms_qpend returned with error.";"Check configuration."
"'2112F";"E_SPO_TASK_TIOMSG";"Cannot alloc a header block for the timeout message ";"mms_alloc failed.";"increase number of MMS header blocks - configuration error."
"'21130";"E_SPO_INIT_ALLOCCB";"Cannot allocate space for the control block ";"sm_eheap failed";"Too many tasks running at a time - check configuration."
"'21131";"E_SPO_INIT_LOADCFG";"See underlying errors ";"Cannot load configuration data.";"Configuration Error - check configuration"
"'21132";"E_SPO_INIT_ALLOCSHARED";"Cannot alloc shared memory ";"sm_share failed";"See underlying error."
"'21133";"E_SPO_INIT_MMSOPEN";"Cannot access MMS ";"mms_open failed";"Check configuration."
"'21134";"E_SPO_INIT_GETQID";"Cannot get an ID for my input queue ";"sm_queueid failed";"See underlying error."
"'21135";"E_SPO_INIT_QCREATE";"Cannot create my input queue ";"mms_qecreate failed.";"See underlying error"
"'21136";"E_SPO_INIT_STT";"initialisation of the state transition table failed. ";"init_spo_stt failed";"Not enough memory??"
"'21137";"E_SPO_INIT_DCMATTACH";"Cannot attach to the DICOM interface library. ";"dcm_attach failed.";"Version mismatch between SPO and DCM??"
"'21138";"E_SPO_INIT_TASKID";"Cannot get a task ID for SPO ";"sm_taskid failed";"Out of ressources! - RESET"
"'21139";"E_SPO_INIT_TASKSTART";"Cannot spawn the SPO task ";"lib_taskcreate failed";"See underlying error."
"'2113A";"E_SPO_INIT_TASKSYNC";"Cannot pend on sync mailbox ";"sc_pend failed";"Out of ressources - RESET!"
"'2113B";"E_SPO_IFC_SHARE";"Cannot access SPO's shared memory ";"sm_share failed";"See underlying error"
"'2113C";"E_SPO_IFC_MMSALLOC";"Cannot allocate a message header SPOIFC is attached to. ";"mms_alloc failed for message header";"Increase number of message header for the task,"
"'2113D";"E_SPO_IFC_QPOST";"Cannot post into SPO's message queue ";"mms_qpost failed";"See underlying error code."
"'2113E";"E_SPO_CNCQ_TAGFOLDER";"Cannot tag the folder has having been transmitted ";"buf_tag_folder failed";"See underlying error"
"'2113F";"E_SPO_SPOGOON";"Cannot ask BAC to continue the transmission ";"bac_continue_transmission failed";"Check BAC error"
"'21140";"E_SPO_INIT_BACATTACH";"Cannot attach to the Buffer Acquisition task ";"bac_attach failed";"Check the error that led to this error"
"'21141";"E_SPO_INIT_ALLOCHEAD";"Cannot alloc mms header block might allow the continue work, but its definitely not ok! ";"mms_alloc failed";"increase the number of MMS headers - error recovery"
"'21142";"E_SPO_REFUSE_FREEIMG";"Cannot free an attached image block in refuse () ";"mms_free failed";"No Cure - Ignore"
"'21143";"E_SPO_REFUSE_FREECTL";"Cannot free an attached control block in refuse () ";"mms_free failed";"No Cure - Ignore"
"'21144";"E_SPO_REFUSE_FREEHEAD";"Cannot free an attached header block in refuse () ";"mms_free failed";"No Cure - Ignore"
"'21145";"E_SPO_CNCQ_CLOSE";"was not able to close the image file that was marked as still being open. to overwrite the folder. A reset will help temporarily Inform SI-DIS about this error!! ";"buff_close failed";"The machine will probably hangup as soon as it tries"
"'21146";"E_SPO_SC_OUTOFSEQ";"While syncing the output with the input stream, we missed a chunk. ";"Mismatch in chunkIDs";"Software error - inform SI-DIS"
"'21147";"E_SPO_QJ_GETZOMBIE";"";"";""
"'21148";"E_SPO_QJ_TAGFOLDER";"";"";""
"'21149";"E_SPO_QJ_WRITE2BACK";"";"";""
"'2114A";"E_SPO_QJ_MMSFREE";"";"";""
"'2114B";"E_SPO_QJNCQ_GETZOMBIE";"";"";""
"'2114C";"E_SPO_QJNCQ_TAGFOLDER";"";"";""
"'2114D";"E_SPO_QJNCQ_WRITE2BACK";"";"";""
"'2114E";"E_SPO_RJ_GETZOMBIE";"";"";""
"'2114F";"E_SPO_RJ_TAGFOLDER";"";"";""
"'21150";"E_SPO_RJ_WRITE2BACK";"";"";""
"'21151";"E_SPO_RJ_MMSFREE";"";"";""
"'21152";"E_SPO_RJNCQ_GETZOMBIE";"";"";""
"'21153";"E_SPO_RJNCQ_TAGFOLDER";"";"";""
"'21154";"E_SPO_RJNCQ_WRITE2BACK";"";"";""
"'21155";"E_SPO_HEFNCQ_GETZOMBIE";"";"";""
"'21156";"E_SPO_HEFNCQ_TAGFOLDER";"";"";""
"'21157";"E_SPO_HEFNCQ_WRITE2BACK";"";"";""
"'21158";"E_SPO_HEF_GETZOMBIE";"";"";""
"'21159";"E_SPO_HEF_TAGFOLDER";"";"";""
"'2115A";"E_SPO_HEF_WRITE2BACK";"";"";""
"'2115B";"E_SPO_HEF_MMSFREE";"";"";""
"'2115C";"E_SPO_GOOFF";"";"";""
"'2115D";"E_SPO_TOC_SETBUFFER";"";"";""
"'2115E";"E_SPO_CQO_CLOSE";"";"";""
"'2115F";"E_SPO_CQO_QJAM";"";"";""
"'21160";"E_SPO_PTW_GETZOMBIE";"Corrupted data structure CSO - MED. ";"Cannot retrieve zombie folder";"Reset - if the problem persists, please inform"
"'21161";"E_SPO_PTW_TAGFOLDER";"Corrupted data structure or out of ressources CSO - MED ";"Cannot tag folder with status <warning>";"Reset - if the problem persists, please inform"
"'21162";"E_SPO_PTW_WRITE2BACK";"Corrupted data structure. CSO - MED. ";"Cannot push the folder to the back of the <recoverable> queue.";"Reset - if the problem persists, please inform"
"'21163";"E_SPO_PTW_MMSFREE";"Software inconsistency sequence, rename the file d:/old/aos.log and give it a unique name. Preferably, copy it within the drive D: or to drive E:. Contact CSO-MED and forward the logfile to them for further investigation. ";"Cannot free MMS block";"Please reset the machine, and after the powerup"
"'21164";"E_SPO_RJNCQ_GRASP";"Software inconsistency Bring the Scanner into offline mode by means of the keypad (Keyoperator mode). Wait until all cassettes have been scanned and ejected into the output buffer. reset the scanner and turn off the offline mode again. ** inform service immediately about this failure ** ";"Cannot grasp handle from zombie queue";"Remove all cassettes from the input buffer."
